au audio/basic
avi video/avi
bmp image/bmp
bz2 application/x-bzip2
css text/css
dtd application/xml-dtd
doc application/msword
es application/ecmascript
exe application/octet-stream
gif image/gif
gz application/x-gzip
hqx application/mac-binhex40
html text/html
jar application/java-archive
jpg image/jpeg
jpeg image/jpeg
js application/x-javascript
midi audio/x-midi
mp3 audio/mpeg
mp4 video/mp4
mpeg video/mpeg
ogg audio/ogg
ogv video/ogg
pdf application/pdf
pl application/x-perl
png image/png
ppt application/vnd.ms-powerpoint
ps application/postscript
qt video/quicktime
ra audio/vnd.rn-realaudio
ram audio/vnd.rn-realaudio
rdf application/rdf
rtf application/rtf
sgml text/sgml
sit application/x-stuffit
svg image/svg+xml
swf application/x-shockwave-flash
tar.gz application/x-tar
tgz application/x-tar
tiff image/tiff
tsv text/tab-separated-values
txt text/plain
wav audio/wav
webm video/webm
xls application/vnd.ms-excel
xml application/xml
xslt text/xml
zip application/zip
